model,AUC,AP,Brier
p_tab_mfm_raw,0.7543365725183907,0.5891086887192969,0.18507402684753668
p_tab_raw,0.7575476471580367,0.5880801367949346,0.2719570952812799
p_tab_sigmoid,0.752987272467792,0.5815618703423133,0.17053568616257433
p_tab_mfm_sigmoid,0.7512682123071733,0.5789506423387144,0.16268372210606183
p_lr_raw,0.7547712028231508,0.5670359501168356,0.16224028465622853
p_tab_mfm_isotonic,0.7410641306745201,0.562339508814809,0.16400821234686966
p_lr_sigmoid,0.7514368748134982,0.5596649160595256,0.1633557770753206
p_tab_isotonic,0.7424555963517002,0.5492207801634672,0.16492851001260328
p_xgb_raw,0.7275581561295847,0.5428702667187901,0.18078044585039613
p_xgb_sigmoid,0.7258780180858103,0.5366277036893952,0.16860946294686535
p_lr_isotonic,0.7500810877434254,0.5319781785856696,0.1628338623719373
p_xgb_isotonic,0.7191088132646574,0.515585972360963,0.16812813954338363
