feature,mean_ig_abs,mean_ig_norm
HPV_overall,1.5156114326417447,0.12803988216814932
HPV16,1.3069935801625252,0.11041570444401258
child_alive,1.276928250938654,0.10787576503192908
iodine_negative,1.0283094401657582,0.0868722792105922
menopausal_status,0.9007898853719234,0.07609934069990934
TZ_type,0.8600228570029139,0.0726553144829684
cytology_grade,0.8254618148319424,0.06973557419078386
parity,0.653393444493413,0.05519912151662503
age,0.6491103075840511,0.05483727920442444
atypical_vessels,0.6310254755616188,0.053309460324655965
HPV_other_hr,0.5480271918326616,0.046297709001105275
pathology_fig,0.541491766422987,0.045745591828226136
colpo_impression,0.43451123296283184,0.03670780377548725
HPV18,0.38005712974816563,0.03210748418893911
gravidity,0.28529233383014796,0.02410168993210744
