feature,mean_ig_abs,mean_ig_norm
HPV_overall,1.5156114326417447,0.1280398821681493
HPV16,1.3069935801625252,0.1104157044440125
child_alive,1.276928250938654,0.107875765031929
iodine_negative,1.0283094401657582,0.0868722792105922
menopausal_status,0.9007898853719234,0.0760993406999093
TZ_type,0.8600228570029139,0.0726553144829684
cytology_grade,0.8254618148319424,0.0697355741907838
parity,0.653393444493413,0.055199121516625
age,0.6491103075840511,0.0548372792044244
atypical_vessels,0.6310254755616188,0.0533094603246559
HPV_other_hr,0.5480271918326616,0.0462977090011052
pathology_fig,0.541491766422987,0.0457455918282261
colpo_impression,0.4345112329628318,0.0367078037754872
HPV18,0.3800571297481656,0.0321074841889391
gravidity,0.2852923338301479,0.0241016899321074
