th,Se,Sp,PPV,NPV,F1,Youden,TP,FP,FN,TN
0.05,0.9999999999999959,0.0,0.27531285551763335,0.0,0.431757359500446,-4.107825191113079e-15,242,637,0,0
0.06,0.9999999999999959,0.0,0.27531285551763335,0.0,0.431757359500446,-4.107825191113079e-15,242,637,0,0
0.07,0.9999999999999959,0.0,0.27531285551763335,0.0,0.431757359500446,-4.107825191113079e-15,242,637,0,0
0.08,0.9999999999999959,0.0,0.27531285551763335,0.0,0.431757359500446,-4.107825191113079e-15,242,637,0,0
0.09,0.9999999999999959,0.0,0.27531285551763335,0.0,0.431757359500446,-4.107825191113079e-15,242,637,0,0
0.1,0.9999999999999959,0.006279434850863412,0.27657142857142825,0.99999999999975,0.4333034914950761,0.006279434850859245,242,633,0,4
0.11,0.9876033057851199,0.034536891679748764,0.2798594847775172,0.8799999999999648,0.43613138686131386,0.022140197464868727,239,615,3,22
0.12,0.9586776859504093,0.11145996860282556,0.29072681704260617,0.8765432098765324,0.4461538461538462,0.07013765455323484,232,566,10,71
0.13,0.9380165289256159,0.1836734693877548,0.30388219544846007,0.8863636363636297,0.4590495449949444,0.1216899983133708,227,520,15,117
0.14,0.9256198347107399,0.24803767660910478,0.31863442389758134,0.8977272727272676,0.4740740740740741,0.17365751131984464,224,479,18,158
0.15,0.9008264462809881,0.32496075353218157,0.33641975308641925,0.8961038961038923,0.4898876404494382,0.22578719981316953,218,430,24,207
0.16,0.8595041322314014,0.395604395604395,0.35075885328836365,0.8811188811188779,0.49820359281437127,0.2551085278357963,208,385,34,252
0.17,0.8305785123966908,0.45054945054944984,0.36479128856624254,0.8749999999999972,0.5069356872635561,0.28112796294614073,201,350,41,287
0.18,0.8057851239669388,0.4976452119309254,0.37864077669902835,0.8708791208791185,0.5151915455746368,0.3034303358978643,195,320,47,317
0.19,0.7975206611570215,0.5337519623233901,0.39387755102040733,0.8740359897172214,0.5273224043715847,0.33127262348041153,193,297,49,340
0.2,0.7644628099173523,0.5714285714285705,0.4039301310043659,0.8646080760094991,0.5285714285714286,0.3358913813459228,185,273,57,364
0.21,0.7479338842975176,0.609105180533751,0.42093023255813855,0.8641425389754992,0.5386904761904762,0.3570390648312687,181,249,61,388
0.22,0.7272727272727243,0.631083202511773,0.42822384428223736,0.8589743589743571,0.5390505359877489,0.3583559297844974,176,235,66,402
0.23,0.7107438016528896,0.66248037676609,0.44444444444444325,0.8577235772357705,0.5468998410174881,0.3732241784189796,172,215,70,422
0.24,0.694214876033055,0.684458398744112,0.4552845528455272,0.854901960784312,0.5499181669394435,0.37867327477716684,168,201,74,436
0.25,0.6652892561983443,0.704866562009418,0.46131805157592987,0.8471698113207531,0.544839255499154,0.37015581820776244,161,188,81,449
0.26,0.644628099173551,0.72684458398744,0.4727272727272713,0.8433515482695795,0.5454545454545454,0.37147268316099114,156,174,86,463
0.27,0.6322314049586751,0.7488226059654619,0.48881789137380033,0.8427561837455815,0.5513513513513514,0.38105401092413693,153,160,89,477
0.28,0.6322314049586751,0.7645211930926205,0.5049504950495033,0.8454861111111096,0.5614678899082569,0.3967525980512956,153,150,89,487
0.29,0.6239669421487578,0.7723704866561997,0.5101351351351334,0.8439108061749556,0.5613382899628253,0.3963374288049575,151,145,91,492
0.3,0.6115702479338818,0.7833594976452106,0.5174825174825156,0.8414839797639109,0.5606060606060606,0.39492974557909255,148,138,94,499
0.31,0.5991735537190058,0.7959183673469375,0.5272727272727253,0.8394039735099323,0.5609284332688588,0.3950919210659434,145,130,97,507
0.32,0.5909090909090885,0.8178963893249594,0.5521235521235499,0.8403225806451599,0.5708582834331337,0.40880548023404795,143,116,99,521
0.33,0.5867768595041298,0.8288854003139704,0.5657370517928264,0.8407643312101897,0.5760649087221096,0.4156622598181001,142,109,100,528
0.34,0.5619834710743778,0.833594976452118,0.5619834710743778,0.833594976452118,0.5619834710743802,0.39557844752649585,136,106,106,531
0.35,0.5454545454545432,0.8414442700156972,0.5665236051502122,0.8297213622291009,0.5557894736842105,0.3868988154702404,132,101,110,536
0.36,0.5371900826446259,0.8555729984301399,0.5855855855855829,0.8295281582952803,0.5603448275862069,0.39276308107476576,130,92,112,545
0.37,0.5206611570247912,0.8665620094191508,0.5971563981042626,0.8263473053892203,0.5562913907284768,0.38722316644394206,126,85,116,552
0.38,0.4834710743801633,0.8728414442700143,0.5909090909090879,0.8164464023494848,0.5318181818181819,0.35631251865017766,117,81,125,556
0.39,0.46280991735536997,0.8806907378335935,0.5957446808510607,0.8118668596237325,0.5209302325581395,0.34350065518896344,112,76,130,561
0.4,0.45041322314049403,0.886970172684457,0.6022099447513779,0.809455587392549,0.5153664302600472,0.337383395824951,109,72,133,565
